system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCI,GLI,GNDVI,LAI,MSAVI,MSK_CLDPRB,MSK_SNWPRB,NDVI,OSAVI,QA10,QA20,QA60,RECI,SAVI,SCL,SIPI,TCI_B,TCI_G,TCI_R,VARI,VIGREEN,WVP,X,Y,data,date_edit,hora,indice,peso_kg,prec,.geo
20240103T134709_20240103T134704_T21KYT_00000000000000000005,{104=0.023529411764705882},{1539=0.023529411764705882},{2052=0.023529411764705882},{1529=0.023529411764705882},{1497=0.023529411764705882},{1567=0.023529411764705882},{1413=0.023529411764705882},{1815=0.023529411764705882},{2589=0.023529411764705882},{2847=0.023529411764705882},{2644=0.023529411764705882},{2949=0.023529411764705882},{2659=0.023529411764705882},{-29.449760765550238=0.023529411764705882},{0.6873005743458838=0.023529411764705882},{0.037061548643282594=0.023529411764705882},{0.25575872714319636=0.023529411764705882},{-106.66723444976076=0.023529411764705882},{0.4655353986022419=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.3034261769780626=0.023529411764705882},{0.30341421092586934=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.8711960368011324=0.023529411764705882},{0.45508317929759706=0.023529411764705882},{3=0.023529411764705882},{0.9317627944760357=0.023529411764705882},{51=0.023529411764705882},{58=0.023529411764705882},{42=0.023529411764705882},{0.10384356035064059=0.023529411764705882},{0.05167785234899329=0.023529411764705882},{4508=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2024-01-03 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
20240103T134709_20240103T134704_T21KYT_00000000000000000004,{104=0.047058823529411764},{1632=0.047058823529411764},"{2538=0.023529411764705882, 2576=0.023529411764705882}","{1805=0.023529411764705882, 1823=0.023529411764705882}","{1620=0.023529411764705882, 1629=0.023529411764705882}","{1875=0.023529411764705882, 1898=0.023529411764705882}","{1554=0.023529411764705882, 1566=0.023529411764705882}","{2220=0.023529411764705882, 2206=0.023529411764705882}","{3642=0.023529411764705882, 3572=0.023529411764705882}","{4128=0.023529411764705882, 3940=0.023529411764705882}","{3978=0.023529411764705882, 3890=0.023529411764705882}","{4180=0.023529411764705882, 3998=0.023529411764705882}",{3491=0.047058823529411764},"{5.209503239740821=0.023529411764705882, 5.483568075117371=0.023529411764705882}","{1.0746666666666669=0.023529411764705882, 1.095890410958904=0.023529411764705882}","{0.0831889081455806=0.023529411764705882, 0.08596767272207123=0.023529411764705882}","{0.35398230088495575=0.023529411764705882, 0.34952298352124894=0.023529411764705882}","{18.72998272138229=0.023529411764705882, 19.72154929577465=0.023529411764705882}","{0.6004833029428482=0.023529411764705882, 0.6063048392056771=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.43506493506493504=0.023529411764705882, 0.429096252755327=0.023529411764705882}","{0.4350523794407088=0.023529411764705882, 0.42908364192088405=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{1.503217503217503=0.023529411764705882, 1.5402298850574714=0.023529411764705882}","{0.6525385517179186=0.023529411764705882, 0.6435852695380659=0.023529411764705882}",{3=0.047058823529411764},"{0.9738805970149254=0.023529411764705882, 0.9717465753424658=0.023529411764705882}","{64=0.023529411764705882, 63=0.023529411764705882}","{92=0.023529411764705882, 89=0.023529411764705882}","{58=0.023529411764705882, 57=0.023529411764705882}","{0.17744610281923714=0.023529411764705882, 0.18092643051771118=0.023529411764705882}","{0.09584295612009237=0.023529411764705882, 0.09361329833770779=0.023529411764705882}",{4508=0.047058823529411764},-54 35 30.468,-20 22 52.110,20240313,2024-01-03 13:58,100542,16,0.28,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.591804236490596,-20.381150413670458],[-54.59178516369804,-20.381150142737336],[-54.5917854983084,-20.381132187651076],[-54.59180448744843,-20.381132517570755],[-54.591804236490596,-20.381150413670458]]]}"
20240103T134709_20240103T134704_T21KYT_00000000000000000006,{104=0.023529411764705882},{1537=0.023529411764705882},{2072=0.023529411764705882},{1553=0.023529411764705882},{1502=0.023529411764705882},{1619=0.023529411764705882},{1389=0.023529411764705882},{1834=0.023529411764705882},{2624=0.023529411764705882},{2938=0.023529411764705882},{2672=0.023529411764705882},{2969=0.023529411764705882},{2411=0.023529411764705882},{-12.432170542635658=0.023529411764705882},{0.6504014823965412=0.023529411764705882},{0.05661608745309186=0.023529411764705882},{0.2453973432766255=0.023529411764705882},{-45.09759302325581=0.023529411764705882},{0.4801179631913328=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.3159320364442256=0.023529411764705882},{0.31591958947689824=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.923686105111591=0.023529411764705882},{0.47383971439123473=0.023529411764705882},{3=0.023529411764705882},{0.911925175370226=0.023529411764705882},{52=0.023529411764705882},{63=0.023529411764705882},{40=0.023529411764705882},{0.15272244355909695=0.023529411764705882},{0.0764627659574468=0.023529411764705882},{4508=0.023529411764705882},-54 35 26.736,-20 22 53.058,20240313,2024-01-03 13:58,102827,18,0.415,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.59076854010374,-20.381414023254774],[-54.590749551204375,-20.381413771540107],[-54.59074980215896,-20.381395797195385],[-54.59076887470994,-20.38139606832129],[-54.59076854010374,-20.381414023254774]]]}"
20240103T134709_20240103T134704_T21KYT_00000000000000000001,{104=0.047058823529411764},{1519=0.047058823529411764},{1845=0.047058823529411764},{1403=0.047058823529411764},{1470=0.047058823529411764},{1539=0.047058823529411764},{1346=0.047058823529411764},{1721=0.047058823529411764},{2443=0.047058823529411764},{2690=0.047058823529411764},{2528=0.047058823529411764},{2759=0.047058823529411764},{2490=0.047058823529411764},{-7.035714285714286=0.047058823529411764},{0.6426250812215724=0.047058823529411764},{0.044451985069562265=0.047058823529411764},{0.24317678878780427=0.047058823529411764},{-25.573214285714283=0.047058823529411764},{0.46751405366649124=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.3051109963861642=0.047058823529411764},{0.3050983955231586=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},{0.8781575037147102=0.047058823529411764},{0.45760743321718933=0.047058823529411764},{3=0.047058823529411764},{0.8950930626057529=0.047058823529411764},{48=0.047058823529411764},{55=0.047058823529411764},{36=0.047058823529411764},{0.1363957597173145=0.047058823529411764},{0.06689774696707106=0.047058823529411764},{4508=0.047058823529411764},-54 35 33.300,-20 22 56.418,20240313,2024-01-03 13:58,93056,13,0.275,1.6,"{""type"":""Polygon"",""coordinates"":[[[-54.59259375362449,-20.382349204135945],[-54.592574680647715,-20.38234885471162],[-54.59257501526131,-20.38233097785257],[-54.592594004584754,-20.382331229455644],[-54.59259375362449,-20.382349204135945]]]}"
20240103T134709_20240103T134704_T21KYT_00000000000000000002,{104=0.047058823529411764},{1511=0.047058823529411764},{1865=0.047058823529411764},{1412=0.047058823529411764},{1462=0.047058823529411764},"{1556=0.011764705882352941, 1544=0.03529411764705882}","{1332=0.011764705882352941, 1338=0.03529411764705882}",{1701=0.047058823529411764},{2469=0.047058823529411764},{2735=0.047058823529411764},"{2606=0.011764705882352941, 2576=0.03529411764705882}",{2750=0.047058823529411764},{2401=0.047058823529411764},"{-8.597222222222221=0.03529411764705882, -8.702185792349727=0.011764705882352941}","{0.6748071979434447=0.011764705882352941, 0.6683937823834196=0.03529411764705882}","{0.05384354893328818=0.011764705882352941, 0.04891304347826087=0.03529411764705882}","{0.2504854368932039=0.03529411764705882, 0.2522825564632388=0.011764705882352941}","{-31.60250819672131=0.011764705882352941, -31.222749999999994=0.03529411764705882}","{0.4888238919620562=0.011764705882352941, 0.48054161075879165=0.03529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.31630045988758304=0.03529411764705882, 0.32351447435246317=0.011764705882352941}","{0.3235013305706218=0.011764705882352941, 0.3162875304024363=0.03529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{0.9564564564564564=0.011764705882352941, 0.9252615844544096=0.03529411764705882}","{0.48521010537006476=0.011764705882352941, 0.4743900881338613=0.03529411764705882}",{3=0.047058823529411764},"{0.8998384491114702=0.03529411764705882, 0.8979591836734694=0.011764705882352941}","{46=0.03529411764705882, 47=0.011764705882352941}","{57=0.011764705882352941, 56=0.03529411764705882}","{35=0.03529411764705882, 34=0.011764705882352941}","{0.14507042253521127=0.03529411764705882, 0.1570827489481066=0.011764705882352941}","{0.07756232686980609=0.011764705882352941, 0.07147814018043026=0.03529411764705882}",{4508=0.047058823529411764},-54 35 30.576,-20 22 55.668,20240313,2024-01-03 13:58,94152,14,0.3,1.7,"{""type"":""Polygon"",""coordinates"":[[[-54.59183644275131,-20.382136988992837],[-54.59181745360385,-20.382136737312102],[-54.59181770456171,-20.382118841168843],[-54.59183669370923,-20.382119092846533],[-54.59183644275131,-20.382136988992837]]]}"
20240103T134709_20240103T134704_T21KYT_00000000000000000000,{104=0.023529411764705882},{1600=0.023529411764705882},{1897=0.023529411764705882},{1414=0.023529411764705882},{1470=0.023529411764705882},{1550=0.023529411764705882},{1332=0.023529411764705882},{1742=0.023529411764705882},{2559=0.023529411764705882},{2845=0.023529411764705882},{2634=0.023529411764705882},{2885=0.023529411764705882},{2602=0.023529411764705882},{-8.178391959798995=0.023529411764705882},{0.6993548387096775=0.023529411764705882},{0.050491358861402914=0.023529411764705882},{0.25908221797323133=0.023529411764705882},{-29.707422110552763=0.023529411764705882},{0.49425778909881046=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.32829046898638425=0.023529411764705882},{0.3282772253262602=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.9774774774774775=0.023529411764705882},{0.49237362914408167=0.023529411764705882},{3=0.023529411764705882},{0.8940092165898618=0.023529411764705882},{48=0.023529411764705882},{56=0.023529411764705882},{34=0.023529411764705882},{0.15439093484419264=0.023529411764705882},{0.07564191533657183=0.023529411764705882},{4508=0.023529411764705882},-54 35 35.676,-20 22 54.732,20240313,2024-01-03 13:58,91803,12,0.43,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.593252275973065,-20.3818786380513],[-54.593233286496705,-20.381878386620205],[-54.59323353745892,-20.381860411857097],[-54.59325252693534,-20.38186066328514],[-54.593252275973065,-20.3818786380513]]]}"
20240103T134709_20240103T134704_T21KYT_00000000000000000003,{104=0.047058823529411764},{1559=0.047058823529411764},{1994=0.047058823529411764},{1497=0.047058823529411764},"{1502=0.023529411764705882, 1510=0.023529411764705882}","{1606=0.023529411764705882, 1640=0.023529411764705882}","{1387=0.023529411764705882, 1432=0.023529411764705882}",{1851=0.047058823529411764},{2687=0.047058823529411764},{3028=0.047058823529411764},"{2790=0.023529411764705882, 2886=0.023529411764705882}",{3094=0.047058823529411764},{2911=0.047058823529411764},"{-23.075657894736842=0.023529411764705882, 23.603896103896105=0.023529411764705882}","{0.7372353673723537=0.023529411764705882, 0.7597560975609756=0.023529411764705882}","{0.05294214063268317=0.023529411764705882, 0.05432336869173899=0.023529411764705882}","{0.2752982766239505=0.023529411764705882, 0.26933575978161967=0.023529411764705882}","{-83.6057302631579=0.023529411764705882, 85.28089610389611=0.023529411764705882}","{0.5028225820728949=0.023529411764705882, 0.5037681937283196=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.3367299675775822=0.023529411764705882, 0.33588700023940626=0.023529411764705882}","{0.33671749078311136=0.023529411764705882, 0.33587413457947507=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{1.0115356885364095=0.023529411764705882, 1.0153631284916202=0.023529411764705882}","{0.5050364709968739=0.023529411764705882, 0.503770197486535=0.023529411764705882}",{3=0.047058823529411764},"{0.9180327868852459=0.023529411764705882, 0.9463548830811555=0.023529411764705882}",{52=0.047058823529411764},"{67=0.023529411764705882, 62=0.023529411764705882}","{40=0.023529411764705882, 45=0.023529411764705882}","{0.13316261203585147=0.023529411764705882, 0.14688128772635814=0.023529411764705882}","{0.07317073170731707=0.023529411764705882, 0.06770833333333333=0.023529411764705882}",{4508=0.047058823529411764},-54 35 31.392,-20 22 54.414,20240313,2024-01-03 13:58,95613,15,0.42,1.9,"{""type"":""Polygon"",""coordinates"":[[[-54.59206046483269,-20.38179045521549],[-54.592041475633195,-20.38179020362566],[-54.59204172659175,-20.38177222905762],[-54.592060715791305,-20.38177248064439],[-54.59206046483269,-20.38179045521549]]]}"
20240108T134701_20240108T134659_T21KYT_00000000000000000005,{87=0.023529411764705882},{1416=0.023529411764705882},{4107=0.023529411764705882},{2954=0.023529411764705882},{1526=0.023529411764705882},{2010=0.023529411764705882},{1878=0.023529411764705882},{2822=0.023529411764705882},{4466=0.023529411764705882},{4830=0.023529411764705882},{4596=0.023529411764705882},{5018=0.023529411764705882},{5005=0.023529411764705882},{1.5373303167420815=0.023529411764705882},{1.2865671641791043=0.023529411764705882},{0.08297413793103449=0.023529411764705882},{0.39146230699364215=0.023529411764705882},{5.444061085972851=0.023529411764705882},{0.5913575224321903=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.4198331788693234=0.023529411764705882},{0.419822803267142=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{1.4472843450479234=0.023529411764705882},{0.6297011352227971=0.023529411764705882},{4=0.023529411764705882},{1.1295069904341428=0.023529411764705882},{55=0.023529411764705882},{103=0.023529411764705882},{90=0.023529411764705882},{0.0558848433530906=0.023529411764705882},{0.033950617283950615=0.023529411764705882},{3839=0.023529411764705882},-54 35 27.744,-20 22 53.274,20240313,2024-01-08 13:58,102003,17,0.39,1.3,"{""type"":""Polygon"",""coordinates"":[[[-54.591048104057776,-20.38147616165941],[-54.59102903144165,-20.38147589056077],[-54.591029366048915,-20.38145793558278],[-54.591048355013285,-20.38145818726412],[-54.591048104057776,-20.38147616165941]]]}"
20240108T134701_20240108T134659_T21KYT_00000000000000000004,{87=0.047058823529411764},{1430=0.047058823529411764},"{3784=0.023529411764705882, 3946=0.023529411764705882}","{2623=0.023529411764705882, 2792=0.023529411764705882}","{1494=0.023529411764705882, 1477=0.023529411764705882}","{1960=0.023529411764705882, 1963=0.023529411764705882}","{1715=0.023529411764705882, 1702=0.023529411764705882}","{2682=0.023529411764705882, 2761=0.023529411764705882}","{4425=0.023529411764705882, 4495=0.023529411764705882}","{4844=0.023529411764705882, 4886=0.023529411764705882}","{4648=0.023529411764705882, 4732=0.023529411764705882}","{5046=0.023529411764705882, 5103=0.023529411764705882}",{4877=0.047058823529411764},"{1.9637118371719335=0.023529411764705882, 1.9586296056884291=0.023529411764705882}","{1.410596026490066=0.023529411764705882, 1.3714285714285714=0.023529411764705882}","{0.10513722730471499=0.023529411764705882, 0.09973348295693646=0.023529411764705882}","{0.41359223300970877=0.023529411764705882, 0.4067796610169492=0.023529411764705882}","{6.968321913380736=0.023529411764705882, 6.986709426888055=0.023529411764705882}","{0.6309990491345161=0.023529411764705882, 0.640296881150789=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},"{0.4709356543363382=0.023529411764705882, 0.46094609460946095=0.023529411764705882}","{0.4609345042400317=0.023529411764705882, 0.47092394345182587=0.023529411764705882}",{0=0.047058823529411764},{0=0.047058823529411764},{0=0.047058823529411764},"{1.7102040816326531=0.023529411764705882, 1.780258519388954=0.023529411764705882}","{0.6913648149603205=0.023529411764705882, 0.7063485896340043=0.023529411764705882}",{4=0.047058823529411764},"{1.0753494715308558=0.023529411764705882, 1.0742574257425743=0.023529411764705882}","{50=0.023529411764705882, 52=0.023529411764705882}",{98=0.047058823529411764},{72=0.047058823529411764},"{0.11928702010968921=0.023529411764705882, 0.11233379183860615=0.023529411764705882}","{0.07121418826739427=0.023529411764705882, 0.06666666666666667=0.023529411764705882}","{3885=0.023529411764705882, 3848=0.023529411764705882}",-54 35 30.468,-20 22 52.110,20240313,2024-01-08 13:58,100542,16,0.28,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.591804236490596,-20.381150413670458],[-54.59178516369804,-20.381150142737336],[-54.5917854983084,-20.381132187651076],[-54.59180448744843,-20.381132517570755],[-54.591804236490596,-20.381150413670458]]]}"
20240108T134701_20240108T134659_T21KYT_00000000000000000006,{87=0.023529411764705882},{1422=0.023529411764705882},{4175=0.023529411764705882},{2973=0.023529411764705882},{1510=0.023529411764705882},{2038=0.023529411764705882},{1788=0.023529411764705882},{2870=0.023529411764705882},{4573=0.023529411764705882},{4909=0.023529411764705882},{4776=0.023529411764705882},{5089=0.023529411764705882},{4969=0.023529411764705882},{1.7870813397129186=0.023529411764705882},{1.3434739941118745=0.023529411764705882},{0.1055058312991592=0.023529411764705882},{0.40181978280011743=0.023529411764705882},{6.347660287081339=0.023529411764705882},{0.6256036197937647=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0.45521023765996343=0.023529411764705882},{0.45519914200750744=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{0=0.023529411764705882},{1.6711409395973154=0.023529411764705882},{0.6827633483128951=0.023529411764705882},{4=0.023529411764705882},{1.0930388219544847=0.023529411764705882},{52=0.023529411764705882},{106=0.023529411764705882},{82=0.023529411764705882},{0.1079447322970639=0.023529411764705882},{0.06534239414532149=0.023529411764705882},{3922=0.023529411764705882},-54 35 26.736,-20 22 53.058,20240313,2024-01-08 13:58,102827,18,0.415,1.5,"{""type"":""Polygon"",""coordinates"":[[[-54.59076854010374,-20.381414023254774],[-54.590749551204375,-20.381413771540107],[-54.59074980215896,-20.381395797195385],[-54.59076887470994,-20.38139606832129],[-54.59076854010374,-20.381414023254774]]]}"
